出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","6674","鋐寶科技","通信網路業","72482","23273","46639","211.44244403385898","55.41070777675336","112132","169744","-33.94052219813366","部分產線恢復生產，產品陸續出貨"
"115/05/01","115/3","6689","伊雲谷","數位雲端","1033275","913411","1125432","13.122679713732373","-8.1885889151899","2999372","3199263","-6.248032750042745","-"
"115/05/01","115/3","6691","洋基工程","其他電子業","2808117","1802251","1320063","55.81164887687675","112.72598353260413","6977227","3946391","76.80019541905503","本月營收較去年同期增加112.73%，主要係因本月正在投入進行的專案較去年同期增加所致。"
"115/05/01","115/3","6695","芯鼎","半導體業","87264","75304","91615","15.88229044937852","-4.749222288926486","252749","241971","4.454252782358217","-"
"115/05/01","115/3","6698","旭暉應材","其他電子業","51042","46253","73999","10.353922988779106","-31.02339220800281","166697","184781","-9.786720496154908","-"
"115/05/01","115/3","6706","惠特","光電業","55496","54091","137262","2.5974746260930655","-59.56929084524486","159976","420298","-61.937482452926254","主係因公司積極轉型，產品仍處於驗證狀態，客戶尚未放量，致使本期營收相較去年同期下降"
"115/05/01","115/3","6715","嘉基","電子零組件業","193232","126310","176385","52.98234502414694","9.551265697196474","510155","434626","17.377929530216782","-"
"115/05/01","115/3","6719","力智","半導體業","350530","244986","390989","43.08164548178263","-10.347861448787562","979142","979044","0.010009764627534615","-"
"115/05/01","115/3","6722","輝創","其他電子業","445549","379500","430393","17.404216073781292","3.521432737056597","1239132","1298989","-4.607968196805362","-"
"115/05/01","115/3","6742","澤米","光電業","28775","25947","61890","10.899140555748255","-53.506220714170304","85699","150199","-42.9430289149728","本月營收較去年同期減少，主係因為客戶需求減少所致。"
